#ANYPPTO,CODFUNCION,CODECOPART,NOMPARTIDA,Inicial,Actual,O,Modif
2014,011,31000,INTERESES PRESTAMOS,10721.66,10721.66,11157.91,
2014,011,31900,OTROS GASTOS FINANCIEROS,2000.0,2000.0,1288.93,
2014,011,91300,AMORTIZACION DE PRESTAMOS A LARGO PLAZO,110804.97,110804.97,110708.27,
2014,130,12000,RETRIBUCIONES BASICAS POLICIA,493175.1,493175.1,525856.43,
2014,130,12009,OTRAS RETRIBUCIONES BASICAS,,,,
2014,130,12100,COMPLEMENTO DESTINO POLICIA,299892.04,299892.04,223851.11,
2014,130,12101,COMPLEMENTO ESPECIFICO POLICIA,363085.31,363085.31,271365.07,
2014,130,15000,"PRODUCTIVIDAD NOCHES, FESTIVOS Y PROXIM. POLICIA",60000.0,60000.0,164310.98,
2014,130,15001,SERVICIOS R.E.D. POLICIA LOCAL,13500.0,13500.0,6300.0,
2014,130,15100,HORAS EXTRAS POLICIA LOCAL,,,9198.26,
2014,130,21006,"ORDENACION TRAFICO,  SEMAFOROS Y SEÑALIZACION",33000.0,33000.0,41444.92,
2014,130,21300,MTO. MAQUINARIA Y UTILLAJE POLICIA,5000.0,5000.0,2982.84,
2014,130,21400,MTO. VEHICULOS POLICIA,15000.0,12189.49,10249.02,-2810.51
2014,130,21499,MANTENIM. VEHICULOS POLICIA LOCAL (R.E.),229.51,229.51,229.51,
2014,130,22000,MATERIAL OFICINA POLICIA,1000.0,92.5,563.26,-907.5
2014,130,22104,VESTUARIO POLICIA,24000.0,24000.0,26535.18,
2014,130,22109,MATERIAL TECNICO POLICIA,2000.0,2000.0,1940.08,
2014,130,22601,ATENCIONES PROTOCOLARIAS POLICIA LOCAL,,,1113.47,
2014,130,22606,PARQUE INFANTIL DE TRAFICO,6000.0,8250.0,8633.42,2250.0
2014,130,22704,RETIRADA DE VEHICULOS DE LA VIA PUBLICA,48400.0,48400.0,24126.33,
2014,130,62290,CUARTEL POLICIA LOCAL Y PROTECCION CIVIL (I.R.),,60985.94,,60985.94
2014,130,62500,EQUIPAMIENTO POLICIA,1000.0,1907.5,907.5,907.5
2014,134,21400,MTO. VEHICULOS PROT.CIVIL,4000.0,4000.0,648.9,
2014,134,22104,VESTUARIO PROT.CIVIL,2000.0,2000.0,2325.43,
2014,134,22111,MATERIAL TECNICO PROT.CIVIL,1200.0,1422.64,457.16,222.64
2014,134,22600,GASTOS DIVERSOS PROTECCION CIVIL,1000.0,830.0,4425.67,-170.0
2014,134,22601,ATENCIONES PROTOCOLARIAS PROTECC. CIVIL,,,713.79,
2014,134,22706,PLANES DE ACTUACION Y CAMPAÑAS FORMACION P.C,2500.0,920.51,510.0,-1579.49
2014,134,48000,SORTEO PROTECCION CIVIL,,170.0,170.0,170.0
2014,134,62300,MATERIAL TECNICO Y ESPECIAL PROTECC. CIVIL,1810.0,6200.0,6200.0,4390.0
2014,150,12000,RETRIBUCIONES BASICAS URBANISMO,479486.53,366972.81,466505.41,-112513.72
2014,150,12009,OTRAS RETRIBUCIONES BASICAS,,,,
2014,150,12100,COMPLEMENTO DESTINO URBANISMO,267847.9,267847.9,193333.76,
2014,150,12101,COMPLEMENTO ESPECIFICO URBANISMO,393293.32,393293.32,264402.24,
2014,150,13100,RETRIB. PERSONAL LABORAL TEMPORAL URBANISMO,,,28809.7,
2014,150,21200,MTO. Y CONS. ESPACIOS PUBLICOS E INFRAESTRUCTURAS,75000.0,46670.94,7183.98,-28329.06
2014,150,21201,CUOTA MTO. EDIFICIOS Y OTRAS INSTALACIONES,1000.0,1000.0,569.82,
2014,150,21299,CUOTA MTO. EDIFICIOS E INSTAL.  MPALES. (R.E),577.8,577.8,577.8,
2014,150,21300,MTO. MAQUINARIA Y APARATOS DE URBANISMO,1500.0,1500.0,1218.47,
2014,150,22101,MATERIAL TECNICO Y ESPECIAL URBANISMO,2000.0,2000.0,538.38,
2014,150,22500,TASA RESERVA DOMINIO PUBL. RADIOELECTRICO (R.E.),,,28.02,
2014,150,22600,GASTOS DIVERSOS URBANISMO,5000.0,5000.0,254.1,
2014,150,22602,PUBLICACIONES URBANISMO,,,1096.26,
2014,150,22604,GASTOS JURIDICOS Y CONTENCIOSOS,,112513.72,136099.76,112513.72
2014,150,22706,"PROYECTOS, ESTUDIOS Y TRAB. TECNICOS URBANISMO",40000.0,40000.0,21719.82,
2014,150,22707,AGUAS MINEROMEDICINALES,2000.0,2000.0,,
2014,150,22709,OBRAS DE EJECUCION SUBSIDIARIA,1000.0,14602.61,7502.0,13602.61
2014,150,22799,AGUAS MINEROMEDICINALES (R.E.),363.0,363.0,363.0,
2014,150,60000,ACONDIC. CAMINOS MUNICIPALES (BACHEOS),20000.0,21090.3,21090.3,1090.3
2014,150,60090,INVERSIONES TERRENOS P.M.S. (I.R.),,256092.75,37180.47,256092.75
2014,150,60091,REINCORPORACION A P.M.S. (I.R.),,247318.13,,247318.13
2014,150,60092,UNIDADES DE ACTUACION VARIAS (I.R.),,3851.57,,3851.57
2014,150,60093,CAMPO DE VUELO,,1200000.0,,1200000.0
2014,150,60094,POLARIS WORLD,,355292.45,,355292.45
2014,150,60100,POSTIGOS PLATAFORMA UNICA,,160724.62,,160724.62
2014,150,60902,PASEO DE LA COSTERA,,70000.0,54473.55,70000.0
2014,150,60990,ACTUACIONES P.P. LOS SECANOS (I.R.),,103354.0,,103354.0
2014,150,61991,CONTR. ESPEC. RESTAURAC. FACHADAS C/ LARGA (I.R.),,448.0,,448.0
2014,150,62290,ACONDICIONAMIENTO NUEVO ALMACEN MPAL. (I.R.),,20000.0,898.67,20000.0
2014,150,62500,EQUIPAMIENTO URBANISMO,1000.0,10680.0,9680.0,9680.0
2014,155,12000,RETRIBUCIONES BASICAS VIAS PUBLICAS,,,5979.6,
2014,155,12100,COMPLEMENTO DESTINO VIAS PUBLICAS,,,2399.41,
2014,155,12101,COMPLEMENTO ESPECIFICO VIAS PUBLICAS,,,4730.62,
2014,155,13100,PERS. LABORAL EVENTUAL OBRAS Y SERV.,54205.2,54205.2,26734.2,
2014,155,13101,OTRO PERSONAL LABORAL PEONES AGRICOLAS,38678.76,38678.76,31313.94,
2014,155,13102,M.O. CONSEJOS COMARCALES 1ª Y 2ª FASE 2014,,109915.45,46865.8,109915.45
2014,155,21000,MANTENIMIENTO VIAS PUBLICAS,60000.0,60000.0,80872.09,
2014,155,21001,SUMINISTRO CARTELERIA LICENCIAS OBRA,10890.0,10890.0,2601.5,
2014,155,21200,MTO. EDIFICIOS E INSTALACIONES PUBLICAS,45000.0,41866.74,38126.07,-3133.26
2014,155,22100,MATERIALES CONSERV.. ESPAC. PUB. CONSEJOS COMARCAL,16000.0,8065.0,3756.35,-7935.0
2014,155,60990,PLAN ASFALTO 2009 (I.R.),,932.0,,932.0
2014,155,60991,DESARROLLO RURAL CAMINO LOS MOLINOS (I.R.),,1164.0,,1164.0
2014,155,61900,RESTITUC. PASO DE RBLA. CON BADEN EN CAÑARICO,,13851.74,9710.95,13851.74
2014,155,61901,RESTITUC. DE TALUD CON MURO CTRA. N-340,,22009.22,15626.55,22009.22
2014,155,61902,RESTITUC. DE TALUD CON ESCOLLERA CTRA. N-340,,7493.99,5559.8,7493.99
2014,155,61990,ADECUAC. DE ACCESOS A NUCLEO URBANO DEL BERRO (I.R,,50000.0,,50000.0
2014,155,61992,PAVIM. C/ CAÑADAS Y OTR. P.O.S. 2012 (I.R.),,24651.0,,24651.0
2014,155,62500,EQUIPAMIENTO OBRAS Y SERV.,1000.0,11068.26,10068.26,10068.26
2014,161,22502,"CANON VERTIDOS, SANEAM. Y OTROS",9000.0,9000.0,9065.39,
2014,161,22700,SUMINISTRO AGUA POTABLE,2800000.0,2800000.0,2692279.53,
2014,161,63291,REDES DE SANEAMIENTO EN C/ ALQUERIAS (I.R.),,6360.0,,6360.0
2014,163,22700,RECOGIDA DE R.S.U. Y LIMPIEZA VIARIA,1905484.04,1905484.04,1894143.48,
2014,163,22701,ELIMINACION Y TRATAMIENTO DE R.S.U.,289545.72,289545.72,267254.23,
2014,165,21300,MTO. ALUMBRADO PUBLICO,35000.0,20503.51,38149.51,-14496.49
2014,165,21301,MTO. ALUMBRADO EDIFICIOS PUBLICOS,10000.0,10000.0,13637.22,
2014,165,22501,TASAS ALUMBRADO PUBLICO,3500.0,3500.0,3023.97,
2014,165,22710,INSTALAC.  ELECTRICAS ACTOS EVENTUALES,65000.0,61429.54,39398.66,-3570.46
2014,165,60990,ALUMBRADO PUBLICO BARRIO SAN JOSE (I.R.),,15262.0,,15262.0
2014,165,61991,ALUMBR. PUBL. EN GEBAS Y PARQUE LA CUBANA (I.R.),,117.0,,117.0
2014,165,62500,EQUIPAMIENTO ALUMBADO PUBLICO,1000.0,19066.95,18066.95,18066.95
